"panel","wave","date","e_home","e_school","e_work","e_other"
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-04,1,3,6,2
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-08,4,0,0,0
"F",7,2020-11-04,5,1,0,0
"F",7,2020-11-08,2,0,0,2
"F",7,2020-11-06,3,0,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-05,3,33,0,9
"F",7,2020-11-05,2,0,0,1
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-05,3,6,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-08,2,0,0,0
"F",7,2020-11-05,3,4,0,0
"F",7,2020-11-04,0,0,0,0
"F",7,2020-11-04,2,31,0,0
"F",7,2020-11-05,1,0,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-05,2,0,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-04,4,28,0,27
"F",7,2020-11-04,3,2,0,0
"F",7,2020-11-04,2,2,0,0
"F",7,2020-11-09,2,19,0,16
"F",7,2020-11-05,4,0,0,23
"F",7,2020-11-04,2,2,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-04,2,41,0,0
"F",7,2020-11-04,5,22,0,22
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-05,1,1,0,2
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-08,3,0,0,0
"F",7,2020-11-05,1,4,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-06,1,5,0,0
"F",7,2020-11-04,3,16,0,0
"F",7,2020-11-05,3,12,0,0
"F",7,2020-11-04,1,2,0,0
"F",7,2020-11-04,4,0,0,0
"F",7,2020-11-04,2,1,0,0
"F",7,2020-11-05,3,0,0,0
"F",7,2020-11-04,2,0,0,0
"F",7,2020-11-04,3,23,0,0
"F",7,2020-11-08,3,0,0,0
