"","iso_code","country","incidence_total_mid","incidence_total_low","incidence_total_high","prevalence_mid","prevalence_low","prevalence_high","imported_cases_mid","imported_cases_low","imported_cases_high"
"127","PHL","Philippines",9004.14968134291,7555.20537178901,13031.5132903823,0.00496808059612065,0.0042502007388158,0.00726223049192861,20.7614848990131,16.9944516017537,47.823857904897
"128","POL","Poland",70258.283666603,56010.8614439547,96040.6091089948,0.0804852329621723,0.0639665823855517,0.110874887971086,512.549561613064,366.780011961031,808.707625726541
"129","PRT","Portugal",2179.98893173125,1776.68621215392,2816.0113361233,0.00843481450510599,0.00686949480816295,0.0109026319057859,259.819933980526,177.866830901052,509.43421274558
"130","QAT","Qatar",1294.56731874602,999.477125841723,2027.94789905248,0.0277678701766519,0.0215271450360477,0.04268007605186,372.621899782816,279.029926094589,840.275783998015
"131","ROU","Romania",12711.6594408214,6574.06277245302,18934.1313454426,0.0268256720342655,0.0139717094955626,0.0403862296661499,212.613950969564,150.283677655136,448.765225840927
"132","RUS","Russia",23441.342772988,18459.868626534,31497.4472773441,0.00672476229988589,0.00529285209872917,0.00897448210898388,514.273731932944,373.752557759073,1137.8951789943
"133","RWA","Rwanda",412.970866110391,348.973755151178,507.087859029819,0.00146074895931087,0.00122817402064171,0.00179863808623226,NA,NA,NA
"134","LCA","Saint Lucia",42.0501771162216,36.9669234061749,51.5360460307441,0.00596099515683905,0.00512659871096037,0.00748867793846761,1.86936421899358,1.64609497025096,3.00383541166037
"135","VCT","Saint Vincent and the Grenadines",9.04357354533502,8.36965998256321,10.2490599153096,0.00255698603970119,0.00235587718945801,0.00297722518808069,4.5525169504004,3.82712406587308,6.75491705323186
"136","SMR","San Marino",65.4632148503101,54.7106844036977,80.7203882448584,0.0605291123547624,0.050155970356714,0.0755558033847149,NA,NA,NA
"137","STP","Sao Tome and Principe",21.9708900654171,19.04969559493,28.279817747121,0.00251717949481413,0.00217382091223325,0.00322705348206517,NA,NA,NA
"138","SAU","Saudi Arabia",1166.08544978311,904.333953849515,1581.98145564754,0.00212896785911221,0.0016483444240759,0.00287308423050721,54.3013273808926,43.2499435168396,104.292959292458
"139","SEN","Senegal",382.289293127442,324.72234103059,469.127434771753,0.000709345473291973,0.000604385110126662,0.00086726322161473,29.2575433310217,20.0437530936587,81.4619464428241
"140","SRB","Serbia",6664.7618276728,6171.86088684933,7373.78415008319,0.0375822257953107,0.0348510465996435,0.0415108024879069,111.353040121722,75.9575943164392,206.364128145529
"141","SYC","Seychelles",71.4371718083068,66.1290322580646,80.7860639765525,0.0292133286454268,0.0269517583871343,0.0336922651346845,NA,NA,NA
"142","SLE","Sierra Leone",6.15597657547335,5.13858474041428,7.84246621655595,0.0000330043099771198,0.0000272111773409044,0.0000429418534170744,NA,NA,NA
"143","SGP","Singapore",20.9987612193757,19.3984306887558,24.2803682388856,0.000207840806486903,0.000190713041004009,0.000249794060983326,130.17651667016,96.6762111187664,202.664874326218
"144","SVK","Slovakia",14239.3075646368,10931.4107749813,19670.4259259707,0.0843083069050934,0.0638636202786375,0.118167780394642,55.3730014120483,38.7457851587492,75.6546867884884
"145","SVN","Slovenia",3652.98881843243,2192.73758449707,4905.13919336456,0.0774017342321704,0.0477476370310445,0.103686305487445,68.1295157404042,46.5353804022834,115.918688404875
"146","SOM","Somalia",718.788115348951,601.462782689876,893.013635785098,0.00181860536896718,0.00151615434815201,0.00226791916054349,NA,NA,NA
"147","ZAF","South Africa",6154.98211903811,5044.94867269099,7804.19875489033,0.00428198999357693,0.00350493274769108,0.00542867128393917,54.9909484373801,40.3763364158179,115.63589659391
"148","KOR","South Korea",778.20856962694,635.437372020584,974.607642885376,0.000734066917670365,0.000605610347150247,0.000918474067886142,266.86688707537,201.18561485053,397.874438299158
"149","SSD","South Sudan",113.825113065637,101.346356969509,133.472814554819,0.000249756692150103,0.000229158637646539,0.000285376689815245,NA,NA,NA
"150","ESP","Spain",5349.73480199297,4176.03625300479,8947.13057812352,0.00944098897009505,0.0072849690925682,0.0160775811406622,1490.68872563245,1036.97761540781,2505.56956110762
