"iso_a3","exports_mid","exports_low","exports_high","incidence_mid","incidence_low","incidence_high","month","variant"
"AUT",55.1083589129382,51.3672922470117,60.5355522427705,3356.70257870148,1608.64285714286,5316.10056373302,"february",TRUE
"BEL",358.204332934098,333.887399605576,393.481089578008,2409.80341200665,2191.35714285714,64784.0810069979,"february",TRUE
"BGD",1.53078774758162,1.42686922908366,1.68154311785474,451.884112414594,395.607142857143,494.911098288408,"february",TRUE
"BGR",18.3694529709794,17.1224307490039,20.1785174142568,3191.87328695661,2877.2619334195,3582.62480965017,"february",TRUE
"BHR",61.2315099032646,57.0747691633464,67.2617247141895,710.191774092448,690.607142857143,798.713752437809,"february",TRUE
"BLR",13.7770897282345,12.8418230617529,15.1338880606926,1470.01046223699,1396.6956691629,1538.94937682645,"february",TRUE
"BMU",9.18472648548969,8.56121537450195,10.0892587071284,NA,NA,NA,"february",TRUE
"BRB",12.2463019806529,11.4149538326693,13.4523449428379,54.8898047202929,54.3933293216178,57.3105978591319,"february",TRUE
"BRN",1.53078774758162,1.42686922908366,1.68154311785474,0.261373077199218,0.225056216735529,0.311229558881861,"february",TRUE
"CAN",177.571378719467,165.516830573704,195.059001671149,NA,NA,NA,"february",TRUE
"CHE",249.518402855803,232.579684340636,274.091528210322,1478.28008213059,1200.42857142857,5102.57987724174,"february",TRUE
"CHN",19.900240718561,18.5492999780876,21.8600605321116,NA,NA,NA,"february",TRUE
"CYP",56.6391466605198,52.7941614760954,62.2170953606253,144.206192003531,136.821428571429,161.519735837786,"february",TRUE
"CZE",45.9236324274485,42.8060768725098,50.4462935356421,18529.0235542888,16741.1941282803,20934.2428121801,"february",TRUE
"DEU",1321.06982616293,1231.3881446992,1451.17171070864,130143.675122359,95100.4060323547,142396.974655102,"february",TRUE
"DNK",107.155142330713,99.8808460358561,117.708018249832,469.101724461364,454.535714285714,559.276213447879,"february",TRUE
"DZA",1.53078774758162,1.42686922908366,1.68154311785474,211.309415047194,205.875353289924,442.192663028877,"february",TRUE
"ESP",324.527002487302,302.496276565736,356.487140985204,19095.4196209438,16054.8230697676,28865.9464552223,"february",TRUE
"EST",13.7770897282345,12.8418230617529,15.1338880606926,832.433870876019,811.300265569665,857.55396739644,"february",TRUE
"FIN",78.0701751266624,72.7703306832666,85.7586990105916,574.502761411145,548.38394657642,611.993893988682,"february",TRUE
"FRA",699.570000644798,652.079237691232,768.465204859615,37763.887582468,22349.6051403205,73843.4970602975,"february",TRUE
"GBR",NA,NA,NA,NA,NA,NA,"february",TRUE
"GGY",67.3546608935911,62.782246079681,73.9878971856084,NA,NA,NA,"february",TRUE
"GRC",50.5159956701933,47.0866845597607,55.4909228892063,3828.69856901132,3414.53927591619,4885.18837832435,"february",TRUE
"HKG",61.2315099032646,57.0747691633464,67.2617247141895,NA,NA,NA,"february",TRUE
"HRV",6.12315099032646,5.70747691633464,6.72617247141895,619.612544896691,549.746592427115,713.141701033837,"february",TRUE
"HUN",85.7241138645705,79.9046768286849,94.1664145998653,5069.56484004853,2179.03571428571,7059.56940217098,"february",TRUE
"IMN",59.700722155683,55.6478999342627,65.5801815963348,NA,NA,NA,"february",TRUE
"IND",243.395251865477,226.872207424302,267.365355738903,14018.2097070115,12861.9627763758,18209.3149902674,"february",TRUE
"IRL",551.083589129381,513.672922470117,605.355522427705,823.362848457263,823.035714343772,823.079410778147,"february",TRUE
"ISL",24.4926039613058,22.8299076653385,26.9046898856758,1.76898177978111,1.67875820842484,1.96134030495344,"february",TRUE
"ISR",70.4162363887543,65.6359845378483,77.3509834213179,5170.38974898828,4980.12992822922,5707.08695700476,"february",TRUE
"ITA",365.858271672006,341.021745750995,401.888805167282,14374.3617409118,14288.9633680176,14355.9425360966,"february",TRUE
"JEY",145.424836020253,135.552576762948,159.7465961962,NA,NA,NA,"february",TRUE
"JOR",1.53078774758162,1.42686922908366,1.68154311785474,2921.4976738412,2315.20066977009,3246.34550243904,"february",TRUE
"JPN",125.524595301692,117.00327678486,137.886535664088,1696.46078189991,1672.07689916018,1704.37951528518,"february",TRUE
"KAZ",4.59236324274485,4.28060768725098,5.04462935356421,1490.18800386285,1383.39653769977,2043.16619479885,"february",TRUE
"KEN",52.0467834177749,48.5135537888444,57.1724660070611,197.301102427141,185.816757643523,354.51724811854,"february",TRUE
"KOR",62.7622976508462,58.50163839243,68.9432678320442,542.39989373382,474.722944243858,621.374173049617,"february",TRUE
"LBN",24.4926039613058,22.8299076653385,26.9046898856758,4683.38934430838,4121.51329498425,5456.99162842099,"february",TRUE
"LCA",6.12315099032646,5.70747691633464,6.72617247141895,83.7079446052773,78.5038285838385,93.6091053754845,"february",TRUE
"LTU",102.562779087968,95.6002383486051,112.663388896267,760.323044496565,696.691947861762,849.416551649189,"february",TRUE
"LUX",33.6773304467955,31.3911230398405,36.9939485928042,170.954933180414,168.642857142857,173.632757269117,"february",TRUE
"LVA",44.3928446798668,41.3792076434261,48.7647504177874,1083.82212413638,977.227436095294,1242.05754180292,"february",TRUE
"MEX",29.0849672040507,27.1105153525895,31.94931923924,14034.4784832764,7952.78693849768,23353.5718517252,"february",TRUE
"MLT",36.7389059419588,34.2448614980078,40.3570348285137,232.459865919451,215.926740268109,252.835362508333,"february",TRUE
"MYS",36.7389059419588,34.2448614980078,40.3570348285137,3379.79473398248,3086.15299271273,3534.76608534717,"february",TRUE
"NLD",188.286892952539,175.50491517729,206.829803496133,4449.3686992813,4414.0377872009,4484.78478881729,"february",TRUE
"NOR",101.031991340387,94.1733691195215,110.981845778413,370.8788793246,339.38018054228,410.204645009568,"february",TRUE
"PAK",27.5541794564691,25.6836461235059,30.2677761213853,2021.95064496582,1811.44955270669,2657.66476266918,"february",TRUE
"PAN",1.53078774758162,1.42686922908366,1.68154311785474,914.443070464655,827.333701584178,1037.42307124493,"february",TRUE
